datum,fullDepo,balance,equity,hozamManual,hozamRobot
2018.11.29 07:12,1742.87,1685.18,1685.18,-79.24,21.55
2018.11.29 22:17,1742.87,1681.64,1681.64,-79.24,18.01
2018.11.29 22:17,1742.87,1678.10,1678.10,-79.24,14.47
2018.11.30 19:34,1742.87,1676.37,1676.37,-79.24,12.74
2018.11.30 19:34,1742.87,1674.62,1674.62,-79.24,10.99
2018.11.30 22:17,1742.87,1671.59,1671.59,-82.27,10.99
2018.12.03 01:00,1742.87,1684.64,1684.64,-82.27,24.04
2018.12.03 13:31,1742.87,1689.22,1689.22,-77.69,24.04
2018.12.03 13:47,1742.87,1707.16,1707.16,-77.69,41.98
2018.12.04 04:06,1742.90,1707.19,1707.19,-77.69,41.98
2018.12.04 05:12,1742.92,1707.21,1707.21,-77.69,41.98
2018.12.04 05:27,1742.94,1707.23,1707.23,-77.69,41.98
2018.12.04 19:05,1742.94,1708.38,1708.38,-76.54,41.98
2018.12.04 19:05,1742.94,1709.05,1709.05,-75.87,41.98
2018.12.04 19:05,1742.94,1709.68,1709.68,-75.24,41.98
2018.12.04 19:05,1742.94,1707.08,1707.08,-77.84,41.98
2018.12.05 14:27,1742.94,1709.18,1709.18,-75.74,41.98
2018.12.05 18:42,1742.94,1710.08,1710.08,-74.84,41.98
2018.12.06 11:03,1742.94,1699.98,1699.98,-84.94,41.98
2018.12.06 12:12,1742.94,1710.17,1710.17,-74.75,41.98
2018.12.06 13:15,1742.94,1708.87,1708.87,-76.05,41.98
2018.12.06 15:37,1742.94,1706.63,1706.63,-78.29,41.98
2018.12.06 15:37,1742.94,1705.39,1705.39,-79.53,41.98
2018.12.06 16:36,1742.94,1705.84,1705.84,-79.08,41.98
2018.12.06 17:19,1742.94,1706.15,1706.15,-78.77,41.98
2018.12.06 18:11,1742.94,1705.18,1705.18,-79.74,41.98
2018.12.06 18:11,1742.94,1699.18,1699.18,-85.74,41.98
2018.12.06 18:11,1742.94,1696.08,1696.08,-88.84,41.98
2018.12.06 22:06,1742.94,1696.13,1696.13,-88.79,41.98
2018.12.07 04:24,1742.98,1696.17,1696.17,-88.79,41.98
2018.12.07 04:27,1743.06,1696.25,1696.25,-88.79,41.98
2018.12.07 04:51,1743.10,1696.29,1696.29,-88.79,41.98
2018.12.07 05:45,1743.10,1700.13,1700.13,-84.95,41.98
2018.12.07 06:04,1743.10,1699.27,1699.27,-85.81,41.98
2018.12.07 06:04,1743.10,1701.27,1701.27,-83.81,41.98
2018.12.07 06:04,1743.10,1699.51,1699.51,-85.57,41.98
2018.12.07 06:04,1743.10,1703.02,1703.02,-82.06,41.98
2018.12.07 12:47,1743.10,1703.22,1703.22,-81.86,41.98
2018.12.07 12:47,1743.10,1703.69,1703.69,-81.39,41.98
2018.12.07 15:25,1743.10,1704.94,1704.94,-80.14,41.98
2018.12.07 15:25,1743.10,1707.21,1707.21,-77.87,41.98
2018.12.07 17:11,1743.10,1706.37,1706.37,-78.71,41.98
2018.12.07 17:11,1743.10,1708.25,1708.25,-76.83,41.98
2018.12.07 17:18,1743.10,1716.55,1716.55,-68.53,41.98
2018.12.07 18:42,1743.10,1730.12,1730.12,-54.96,41.98
2018.12.07 18:42,1743.10,1731.25,1731.25,-53.83,41.98
2018.12.07 18:42,1743.10,1729.59,1729.59,-55.49,41.98
